 模拟数据,实测数据
   17.25600     ,   29.20000    
   17.10700     ,   27.00000    
   16.92300     ,   25.10000    
   16.72200     ,   22.90000    
   16.52600     ,   20.50000    
   16.46800     ,   18.40000    
   16.64400     ,   16.90000    
   16.62100     ,   16.90000    
   16.50900     ,   16.90000    
   16.38400     ,   16.90000    
   16.24400     ,   16.90000    
   16.10000     ,   16.90000    
   15.95100     ,   16.90000    
   15.79800     ,   16.90000    
   15.64300     ,   16.90000    
   15.48900     ,   16.90000    
   15.33800     ,   16.90000    
   15.19400     ,   16.90000    
   15.05600     ,   16.90000    
   14.92900     ,   16.90000    
   14.81100     ,   16.90000    
   14.70400     ,   16.90000    
   14.60600     ,   16.90000    
   14.61700     ,   16.40000    
   14.51200     ,   16.20000    
   14.42600     ,   15.80000    
   14.44000     ,   15.40000    
   14.47200     ,   15.20000    
   14.40800     ,   14.90000    
   14.34400     ,   14.60000    
   14.39700     ,   14.40000    
   14.36600     ,   14.40000    
   14.46800     ,   14.40000    
   14.44200     ,   14.40000    
   14.43600     ,   14.40000    
   14.43600     ,   14.40000    
   14.37900     ,   14.40000    
   14.31400     ,   14.40000    
   14.26600     ,   14.40000    
   14.24700     ,   14.40000    
   14.20600     ,   14.40000    
   14.16000     ,   14.40000    
   14.11900     ,   14.40000    
   14.08500     ,   14.20000    
   14.05500     ,   13.80000    
   14.02400     ,   13.40000    
   13.99400     ,   13.20000    
   13.96300     ,   12.80000    
   13.92600     ,   12.50000    
   13.88500     ,   12.30000    
   13.84200     ,   11.80000    
   13.79900     ,   11.50000    
   13.75800     ,   11.20000    
   13.73200     ,   10.50000    
   13.75100     ,   10.20000    
   13.73700     ,   10.20000    

             3
   1.484000     ,   8.500000    
   8.365000     ,   9.000000    
   10.31900     ,   9.100000    
   5.473000     ,   9.200000    
   7.962000     ,   9.300000    
   6.236000     ,   9.400000    
   10.72100     ,   9.500000    
   9.223000     ,   9.600000    
   10.49900     ,   9.700000    
   12.98800     ,   9.800000    
   14.16000     ,   9.900000    
   15.92400     ,   10.00000    
   18.19100     ,   10.20000    
   23.58000     ,   13.20000    
   29.96400     ,   16.10000    
   36.74300     ,   19.10000    
   44.55000     ,   22.00000    
   52.01600     ,   24.90000    
   62.66300     ,   27.80000    
   70.59400     ,   30.70000    
   74.80700     ,   33.60000    
   73.41600     ,   36.50000    
   70.13800     ,   39.70000    
   77.65800     ,   86.40000    
   79.19600     ,   117.0000    
   78.87200     ,   107.0000    
   88.25000     ,   105.9000    
   83.17700     ,   103.6000    
   93.52800     ,   102.5000    
   91.73900     ,   100.3000    
   85.60100     ,   97.10000    
   82.18000     ,   94.10000    
   83.55500     ,   90.80000    
   78.32900     ,   86.80000    
   75.74300     ,   82.50000    
   71.18300     ,   77.50000    
   71.03400     ,   72.20000    
   67.80400     ,   66.30000    
   63.82100     ,   65.80000    
   59.88900     ,   64.40000    
   56.13800     ,   63.00000    
   52.88400     ,   61.40000    
   49.74900     ,   59.60000    
   46.84000     ,   58.20000    
   48.25700     ,   56.60000    
   46.46300     ,   54.20000    
   44.20400     ,   52.80000    
   43.65500     ,   51.60000    
   41.70900     ,   50.90000    
   39.66500     ,   50.50000    
   37.73600     ,   50.10000    
   36.10500     ,   49.70000    
   34.49100     ,   49.30000    
   33.04700     ,   48.90000    
   31.69200     ,   48.50000    
   30.41700     ,   48.10000    
   29.21800     ,   47.70000    
   28.09300     ,   47.30000    
   27.21900     ,   47.10000    
   26.25200     ,   46.90000    
   25.55400     ,   46.80000    
   25.05000     ,   46.50000    
   24.29900     ,   46.10000    
   23.59700     ,   45.70000    
   22.90700     ,   45.30000    
   22.24400     ,   44.90000    
   21.62400     ,   44.50000    
   21.05700     ,   44.10000    
   20.53100     ,   43.80000    
   20.05500     ,   43.40000    
   19.64900     ,   43.00000    
   19.31200     ,   42.50000    
   18.98400     ,   41.60000    
   18.65700     ,   39.50000    
   18.35000     ,   37.50000    
   18.06300     ,   35.40000    
   17.76300     ,   33.40000    
   17.47600     ,   31.40000    
   17.25600     ,   29.20000    
   17.10700     ,   27.00000    
   16.92300     ,   25.10000    
   16.72200     ,   22.90000    
   16.52600     ,   20.50000    
   16.46800     ,   18.40000    
   16.64400     ,   16.90000    
   16.62100     ,   16.90000    
   16.50900     ,   16.90000    
   16.38400     ,   16.90000    
   16.24400     ,   16.90000    
   16.10000     ,   16.90000    
   15.95100     ,   16.90000    
   15.79800     ,   16.90000    
   15.64300     ,   16.90000    
   15.48900     ,   16.90000    
   15.33800     ,   16.90000    
   15.19400     ,   16.90000    
   15.05600     ,   16.90000    
   14.92900     ,   16.90000    
   14.81100     ,   16.90000    
   14.70400     ,   16.90000    
   14.60600     ,   16.90000    
   14.61700     ,   16.40000    
   14.51200     ,   16.20000    
   14.42600     ,   15.80000    
   14.44000     ,   15.40000    
   14.47200     ,   15.20000    
   14.40800     ,   14.90000    
   14.34400     ,   14.60000    
   14.39700     ,   14.40000    
   14.36600     ,   14.40000    
   14.46800     ,   14.40000    
   14.44200     ,   14.40000    
   14.43600     ,   14.40000    
   14.43600     ,   14.40000    
   14.37900     ,   14.40000    
   14.31400     ,   14.40000    
   14.26600     ,   14.40000    
   14.24700     ,   14.40000    
   14.20600     ,   14.40000    
   14.16000     ,   14.40000    
   14.11900     ,   14.40000    
   14.08500     ,   14.20000    
   14.05500     ,   13.80000    
   14.02400     ,   13.40000    
   13.99400     ,   13.20000    
   13.96300     ,   12.80000    
   13.92600     ,   12.50000    
   13.88500     ,   12.30000    
   13.84200     ,   11.80000    
   13.79900     ,   11.50000    
   13.75800     ,   11.20000    
   13.73200     ,   10.50000    
   13.75100     ,   10.20000    
   13.73700     ,   10.20000    

             4
   1.484000     ,   8.500000    
   8.365000     ,   9.000000    
   10.31900     ,   9.100000    
   5.473000     ,   9.200000    
   7.962000     ,   9.300000    
   6.236000     ,   9.400000    
   10.72100     ,   9.500000    
   9.223000     ,   9.600000    
   10.49900     ,   9.700000    
   12.98800     ,   9.800000    
   14.16000     ,   9.900000    
   15.92400     ,   10.00000    
   18.19100     ,   10.20000    
   23.58000     ,   13.20000    
   29.96400     ,   16.10000    
   36.74300     ,   19.10000    
   44.55000     ,   22.00000    
   52.01600     ,   24.90000    
   62.66300     ,   27.80000    
   70.59400     ,   30.70000    
   74.80700     ,   33.60000    
   73.41600     ,   36.50000    
   70.13800     ,   39.70000    
   77.65800     ,   86.40000    
   79.19600     ,   117.0000    
   78.87200     ,   107.0000    
   88.25000     ,   105.9000    
   83.17700     ,   103.6000    
   93.52800     ,   102.5000    
   91.73900     ,   100.3000    
   85.60100     ,   97.10000    
   82.18000     ,   94.10000    
   83.55500     ,   90.80000    
   78.32900     ,   86.80000    
   75.74300     ,   82.50000    
   71.18300     ,   77.50000    
   71.03400     ,   72.20000    
   67.80400     ,   66.30000    
   63.82100     ,   65.80000    
   59.88900     ,   64.40000    
   56.13800     ,   63.00000    
   52.88400     ,   61.40000    
   49.74900     ,   59.60000    
   46.84000     ,   58.20000    
   48.25700     ,   56.60000    
   46.46300     ,   54.20000    
   44.20400     ,   52.80000    
   43.65500     ,   51.60000    
   41.70900     ,   50.90000    
   39.66500     ,   50.50000    
   37.73600     ,   50.10000    
   36.10500     ,   49.70000    
   34.49100     ,   49.30000    
   33.04700     ,   48.90000    
   31.69200     ,   48.50000    
   30.41700     ,   48.10000    
   29.21800     ,   47.70000    
   28.09300     ,   47.30000    
   27.21900     ,   47.10000    
   26.25200     ,   46.90000    
   25.55400     ,   46.80000    
   25.05000     ,   46.50000    
   24.29900     ,   46.10000    
   23.59700     ,   45.70000    
   22.90700     ,   45.30000    
   22.24400     ,   44.90000    
   21.62400     ,   44.50000    
   21.05700     ,   44.10000    
   20.53100     ,   43.80000    
   20.05500     ,   43.40000    
   19.64900     ,   43.00000    
   19.31200     ,   42.50000    
   18.98400     ,   41.60000    
   18.65700     ,   39.50000    
   18.35000     ,   37.50000    
   18.06300     ,   35.40000    
   17.76300     ,   33.40000    
   17.47600     ,   31.40000    
   17.25600     ,   29.20000    
   17.10700     ,   27.00000    
   16.92300     ,   25.10000    
   16.72200     ,   22.90000    
   16.52600     ,   20.50000    
   16.46800     ,   18.40000    
   16.64400     ,   16.90000    
   16.62100     ,   16.90000    
   16.50900     ,   16.90000    
   16.38400     ,   16.90000    
   16.24400     ,   16.90000    
   16.10000     ,   16.90000    
   15.95100     ,   16.90000    
   15.79800     ,   16.90000    
   15.64300     ,   16.90000    
   15.48900     ,   16.90000    
   15.33800     ,   16.90000    
   15.19400     ,   16.90000    
   15.05600     ,   16.90000    
   14.92900     ,   16.90000    
   14.81100     ,   16.90000    
   14.70400     ,   16.90000    
   14.60600     ,   16.90000    
   14.61700     ,   16.40000    
   14.51200     ,   16.20000    
   14.42600     ,   15.80000    
   14.44000     ,   15.40000    
   14.47200     ,   15.20000    
   14.40800     ,   14.90000    
   14.34400     ,   14.60000    
   14.39700     ,   14.40000    
   14.36600     ,   14.40000    
   14.46800     ,   14.40000    
   14.44200     ,   14.40000    
   14.43600     ,   14.40000    
   14.43600     ,   14.40000    
   14.37900     ,   14.40000    
   14.31400     ,   14.40000    
   14.26600     ,   14.40000    
   14.24700     ,   14.40000    
   14.20600     ,   14.40000    
   14.16000     ,   14.40000    
   14.11900     ,   14.40000    
   14.08500     ,   14.20000    
   14.05500     ,   13.80000    
   14.02400     ,   13.40000    
   13.99400     ,   13.20000    
   13.96300     ,   12.80000    
   13.92600     ,   12.50000    
   13.88500     ,   12.30000    
   13.84200     ,   11.80000    
   13.79900     ,   11.50000    
   13.75800     ,   11.20000    
   13.73200     ,   10.50000    
   13.75100     ,   10.20000    
   13.73700     ,   10.20000    

